PLANNED_PICKING_DEADLINE_TS,KEY_TRUCK_TRIP,TRUCK_TRIP_ID,PLANNED_FRAME_STACK_ID
2025-02-24 14:20:00.000,586e4e535deb24591259920709340086,tps-ebsgko7x-FC-FC9-17,679eb5b608f24d0e866e6ef21-BOTH-AMBIENT
2025-02-24 14:20:00.000,586e4e535deb24591259920709340086,tps-ebsgko7x-FC-FC9-17,679eb5b008f24d0e866e6dc01-BOTH-COOLED
2025-02-24 14:20:00.000,586e4e535deb24591259920709340086,tps-ebsgko7x-FC-FC9-17,679eb5b008f24d0e866e6dc00-BOTH-COOLED
2025-02-24 14:43:00.000,5d9a1e96349309116f0ff65eb5332063,tps-ebsgko7x-FC-FC9-18,679eb5b908f24d0e866e6f7c6-BOTH-AMBIENT;679eb5b908f24d0e866e6f7cd-BOTH-AMBIENT
2025-02-24 14:43:00.000,5d9a1e96349309116f0ff65eb5332063,tps-ebsgko7x-FC-FC9-18,679eb5b908f24d0e866e6f7c9-BOTH-COOLED;679eb5b908f24d0e866e6f7cb-BOTH-COOLED
2025-02-24 14:43:00.000,5d9a1e96349309116f0ff65eb5332063,tps-ebsgko7x-FC-FC9-18,679eb5b908f24d0e866e6f7c6-BOTH-COOLED;679eb5b908f24d0e866e6f7cd-BOTH-COOLED
2025-02-24 14:43:00.000,5d9a1e96349309116f0ff65eb5332063,tps-ebsgko7x-FC-FC9-18,679eb5b908f24d0e866e6f7c8-BOTH-AMBIENT;679eb5b908f24d0e866e6f7c4-BOTH-AMBIENT
2025-02-24 14:43:00.000,5d9a1e96349309116f0ff65eb5332063,tps-ebsgko7x-FC-FC9-18,679eb5b908f24d0e866e6f7c2-BOTH-AMBIENT;679eb5b908f24d0e866e6f7c5-BOTH-AMBIENT
2025-02-24 14:43:00.000,5d9a1e96349309116f0ff65eb5332063,tps-ebsgko7x-FC-FC9-18,679eb5b908f24d0e866e6f7c0-BOTH-AMBIENT;679eb5b908f24d0e866e6f7ca-BOTH-AMBIENT
2025-02-24 14:43:00.000,5d9a1e96349309116f0ff65eb5332063,tps-ebsgko7x-FC-FC9-18,679eb5b908f24d0e866e6f7c1-BOTH-AMBIENT;679eb5b908f24d0e866e6f7c3-BOTH-AMBIENT
2025-02-24 14:43:00.000,5d9a1e96349309116f0ff65eb5332063,tps-ebsgko7x-FC-FC9-18,679eb5b908f24d0e866e6f7c7-BOTH-COOLED;679eb5b908f24d0e866e6f7cc-BOTH-COOLED
2025-02-24 14:43:00.000,5d9a1e96349309116f0ff65eb5332063,tps-ebsgko7x-FC-FC9-18,679eb5b908f24d0e866e6f7c2-BOTH-COOLED;679eb5b908f24d0e866e6f7c5-BOTH-COOLED
2025-02-24 14:43:00.000,5d9a1e96349309116f0ff65eb5332063,tps-ebsgko7x-FC-FC9-18,679eb5b908f24d0e866e6f7c1-BOTH-COOLED;679eb5b908f24d0e866e6f7c3-BOTH-COOLED
2025-02-24 14:43:00.000,5d9a1e96349309116f0ff65eb5332063,tps-ebsgko7x-FC-FC9-18,679eb5b908f24d0e866e6f7c9-BOTH-AMBIENT;679eb5b908f24d0e866e6f7cb-BOTH-AMBIENT
2025-02-24 14:43:00.000,5d9a1e96349309116f0ff65eb5332063,tps-ebsgko7x-FC-FC9-18,679eb5b908f24d0e866e6f7c0-BOTH-COOLED;679eb5b908f24d0e866e6f7ca-BOTH-COOLED
2025-02-24 14:43:00.000,5d9a1e96349309116f0ff65eb5332063,tps-ebsgko7x-FC-FC9-18,679eb5b908f24d0e866e6f7c7-BOTH-AMBIENT;679eb5b908f24d0e866e6f7cc-BOTH-AMBIENT
2025-02-24 14:43:00.000,5d9a1e96349309116f0ff65eb5332063,tps-ebsgko7x-FC-FC9-18,679eb5b908f24d0e866e6f7c8-BOTH-COOLED;679eb5b908f24d0e866e6f7c4-BOTH-COOLED
2025-02-24 15:00:00.000,a830c3129e844d17fccfc41deff20982,tps-ebsgko7x-FC-FC9-19,79eb5af08f24d0e866e6dac00-BOTH-AMBIENT;79eb5af08f24d0e866e6dac02-BOTH-AMBIENT
2025-02-24 15:00:00.000,a830c3129e844d17fccfc41deff20982,tps-ebsgko7x-FC-FC9-19,79eb5af08f24d0e866e6dac09-BOTH-AMBIENT;79eb5af08f24d0e866e6dac07-BOTH-AMBIENT
2025-02-24 15:00:00.000,a830c3129e844d17fccfc41deff20982,tps-ebsgko7x-FC-FC9-19,79eb5af08f24d0e866e6dac0c-BOTH-COOLED;79eb5af08f24d0e866e6dac0f-BOTH-COOLED
2025-02-24 15:00:00.000,a830c3129e844d17fccfc41deff20982,tps-ebsgko7x-FC-FC9-19,79eb5af08f24d0e866e6dac01-BOTH-COOLED;79eb5af08f24d0e866e6dac03-BOTH-COOLED
2025-02-24 15:00:00.000,a830c3129e844d17fccfc41deff20982,tps-ebsgko7x-FC-FC9-19,79eb5af08f24d0e866e6dac01-BOTH-AMBIENT;79eb5af08f24d0e866e6dac03-BOTH-AMBIENT
2025-02-24 15:00:00.000,a830c3129e844d17fccfc41deff20982,tps-ebsgko7x-FC-FC9-19,79eb5af08f24d0e866e6dac00-BOTH-COOLED;79eb5af08f24d0e866e6dac02-BOTH-COOLED
2025-02-24 15:00:00.000,a830c3129e844d17fccfc41deff20982,tps-ebsgko7x-FC-FC9-19,79eb5af08f24d0e866e6dac09-BOTH-COOLED;79eb5af08f24d0e866e6dac07-BOTH-COOLED
2025-02-24 15:00:00.000,a830c3129e844d17fccfc41deff20982,tps-ebsgko7x-FC-FC9-19,79eb5af08f24d0e866e6dac05-BOTH-AMBIENT;79eb5af08f24d0e866e6dac10-BOTH-AMBIENT
2025-02-24 15:00:00.000,a830c3129e844d17fccfc41deff20982,tps-ebsgko7x-FC-FC9-19,79eb5af08f24d0e866e6dac05-BOTH-COOLED;79eb5af08f24d0e866e6dac10-BOTH-COOLED
2025-02-24 15:00:00.000,a830c3129e844d17fccfc41deff20982,tps-ebsgko7x-FC-FC9-19,79eb5af08f24d0e866e6dac0c-BOTH-AMBIENT;79eb5af08f24d0e866e6dac0f-BOTH-AMBIENT
